Metric,State,Value
Empirical_Count,Ясно,248
Empirical_Probability,Ясно,0.14823670053795576
Theoretical_Stationary_Probability,Ясно,0.16836734693877542
Empirical_Count,Облачно,488
Empirical_Probability,Облачно,0.2916915720263001
Theoretical_Stationary_Probability,Облачно,0.26530612244897966
Empirical_Count,Пасмурно,553
Empirical_Probability,Пасмурно,0.3305439330543933
Theoretical_Stationary_Probability,Пасмурно,0.3163265306122448
Empirical_Count,Дождь,384
Empirical_Probability,Дождь,0.22952779438135087
Theoretical_Stationary_Probability,Дождь,0.2499999999999999

Empirical Transition Matrix,,
Transition_Count,1->1,165
Transition_Count,1->2,38
Transition_Count,1->3,22
Transition_Count,1->4,23
Transition_Count,2->1,29
Transition_Count,2->2,355
Transition_Count,2->3,73
Transition_Count,2->4,31
Transition_Count,3->1,23
Transition_Count,3->2,66
Transition_Count,3->3,421
Transition_Count,3->4,43
Transition_Count,4->1,30
Transition_Count,4->2,29
Transition_Count,4->3,37
Transition_Count,4->4,287

Empirical Transition Probabilities,,
Transition_Probability,1->1,0.6653225806451613
Transition_Probability,1->2,0.1532258064516129
Transition_Probability,1->3,0.08870967741935484
Transition_Probability,1->4,0.09274193548387097
Transition_Probability,2->1,0.05942622950819672
Transition_Probability,2->2,0.7274590163934426
Transition_Probability,2->3,0.14959016393442623
Transition_Probability,2->4,0.06352459016393443
Transition_Probability,3->1,0.04159132007233273
Transition_Probability,3->2,0.11934900542495479
Transition_Probability,3->3,0.7613019891500904
Transition_Probability,3->4,0.07775768535262206
Transition_Probability,4->1,0.0783289817232376
Transition_Probability,4->2,0.07571801566579635
Transition_Probability,4->3,0.09660574412532637
Transition_Probability,4->4,0.7493472584856397

Theoretical P(1) = expm(Q),,
Theoretical_Transition,1->1,0.6832484828771938
Theoretical_Transition,1->2,0.1448693982835803
Theoretical_Transition,1->3,0.08946213034813585
Theoretical_Transition,1->4,0.0824199884910902
Theoretical_Transition,2->1,0.07520086460719831
Theoretical_Transition,2->2,0.6922133937231099
Theoretical_Transition,2->3,0.15016575317860167
Theoretical_Transition,2->4,0.08241998849109018
Theoretical_Transition,3->1,0.04484905319196538
Theoretical_Transition,3->2,0.11451758686834733
Theoretical_Transition,3->3,0.7582133714485971
Theoretical_Transition,3->4,0.08241998849109017
Theoretical_Transition,4->1,0.07676966954237635
Theoretical_Transition,4->2,0.08416577545311442
Theoretical_Transition,4->3,0.08632452047777978
Theoretical_Transition,4->4,0.7527400345267294
